SampleSize,AbsoluteBiasG_P,StandardDeviationG_P,MeanSqrtGammaTh3G_P,MeanSqrtGammaG_P,CoverageWaldG_P,CoveragePercentileG_P,AbsoluteBiasLambdaG_P1,StandardDeviationLambdaG_P1,MeanSqrtSigmaLambdaG_P1,CoverageWaldLambdaG_P1,CoveragePercentileLambdaG_P1,AbsoluteBiasLambdaG_P2,StandardDeviationLambdaG_P2,MeanSqrtSigmaLambdaG_P2,CoverageWaldLambdaG_P2,CoveragePercentileLambdaG_P2,AbsoluteBiasLR_P,StandardDeviationLR_P,MeanSqrtGammaLR_P,MeanSqrtGammaHuangLR_P,CoverageWaldLR_P,CoveragePercentileLR_P,AbsoluteBiasLambdaLR_P1,StandardDeviationLambdaLR_P1,MeanSqrtSigmaLambdaLR_P1,CoverageWaldLambdaLR_P1,CoveragePercentileLambdaLR_P1,AbsoluteBiasLambdaLR_P2,StandardDeviationLambdaLR_P2,MeanSqrtSigmaLambdaLR_P2,CoverageWaldLambdaLR_P2,CoveragePercentileLambdaLR_P2
50,0.1519856640625,0.105957165445878,NaN,0.818848227977711,0.972,0.952,0.660530226902191,0.276546549424844,2.0666922448379,0.966,0.952,1.74250788872032,0.144585375399693,9.03578147446963,1,0.952,0.125372159366849,0.0979171822983327,1.07890399224867,0.732047590799563,1,0.952,0.607083068122107,0.255394310819546,2.43581545539987,0.99,0.952,1.74250788872032,0.144585375399693,9.05360073157286,1,0.952
100,0.148948046875001,0.0777591637562994,NaN,0.805708715820316,0.944,0.952,0.653760413270668,0.207289196044974,2.05235723231695,0.946,0.952,1.03626907202034,0.111013802974413,12.7937375147929,1,0.952,0.121945347170873,0.068491635441149,1.0713757964132,0.756170161103773,1,0.952,0.596856409524886,0.181652131607621,2.44205758438429,0.99,0.952,1.03826907202034,0.121232966327118,12.7982308997884,1,0.952
