SampleSize,EstimatedThetaG_P,EstimatedSigmaG_P,EstimatedThetaTildeG_P,EstimatedGammaG_P,EstimatedLambdaG_P1,EstimatedSigmaLambda2G_P1,EstimatedLambdaG_P2,EstimatedSigmaLambda2G_P2,EstimatedThetaLR_P,EstimatedGammaLR_P,EstimatedGammaHuangLR_P,EstimatedLambdaLR_P1,EstimatedSigmaLambda2LR_P1,EstimatedLambdaLR_P2,EstimatedSigmaLambda2LR_P2
50,0.485214843749999,12.151328,0.378437499999999,0.570070056915288,2.66247883371757,6.1619415455147,6.21021849086125,82.0678126566737,0.467240516464669,0.803383972942499,0.189703269728291,2.77066596822049,7.19287418676048,6.21021849086125,82.0678126566737
50,0.744365234375,8.9246,0.62671875,0.692034764289861,1.83959300688031,4.35750465866911,6.16633581352865,82.0597876722392,0.811070294387929,1.4448722949877,0.72770780151439,1.6094239383029,6.32150583769173,6.16633581352866,82.0597876722392
50,0.60333984375,11.246904,0.475781249999999,0.813559741973884,1.90263533059889,4.94630214985882,6.18117836953527,82.0625414879945,0.751985173538259,0.977892135047744,1.00355732137391,1.72238119447115,3.02374749781891,6.18117836953527,82.0625414879945
50,0.765009765625,7.72865599999999,0.643125,0.742794804573064,1.69738540646094,2.64969114630329,6.04738402706276,84.622417334313,0.665901967317122,1.42793328823627,0.285393183401553,1.9006026080459,4.96198810484999,6.04738402706276,83.0270413726206
50,0.561777343749999,9.32587200000001,0.456640624999999,0.552686481475835,2.36001480850068,6.61268471279991,6.13597298625419,82.0540253534884,0.633574406198465,1.04790837201933,0.688250814491127,2.17431918866713,9.1218067977669,6.13597298625419,82.0540253534884
50,0.533339843749999,10.9136,0.431757812499999,0.515945453643803,2.45665410140072,3.89160324676593,6.14746735161799,82.0562273822906,0.729894974532066,0.996482447987743,1.44321511856258,1.97290815482335,5.43444147676638,6.14746735161799,82.0562273822906
50,0.591445312499999,6.75436,0.470312499999999,0.733657913208013,2.22512388512583,4.37773396444158,5.95941539621267,82.016818689896,0.64973212371459,1.15959358103621,0.747512148916161,2.14345721845917,5.31124739280679,5.95941539621267,82.016818689896
50,0.852578125,7.963488,0.734453125,0.697675781250006,1.62197263308932,3.26871655150858,6.05993647482011,86.4691781687522,0.724462738414382,1.35880334385061,0.167169839985284,1.88537727802547,6.49213090807345,6.05993647482012,82.9822440455969
50,0.76890625,6.65892,0.65884765625,0.605644702911377,1.98715647722903,4.34564369982184,5.98214360814942,82.0219846195523,0.835164424475973,1.22166745359973,0.799030335779578,1.80758441135479,6.07343038117075,5.98214360814943,82.228479809247
50,0.78681640625,8.43616,0.676279296875,0.61092262744904,2.003860959436,3.55982933032016,6.09265918517555,82.0454963704738,0.748218809470725,1.2889630212504,0.289632300772682,2.06541398973903,6.09749744523079,6.09265918517555,82.0454963704739
